designer,artifact_id,condition,artifact_type,action,broad_action
P7,BASE_0001,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P7,BASE_0002,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P7,BASE_0003,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P7,BASE_0003,DesignJournal_baseline,note,PRUNE_NOTE,PRUNE
P7,BASE_0004,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P7,BASE_0005,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P7,BASE_0004,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0005,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0006,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0004,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0007,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0008,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0009,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0010,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0011,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0012,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0012,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0013,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0011,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0009,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0014,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0010,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0015,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0013,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0016,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0009,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0001,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0011,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0017,DesignJournal_baseline,drawing,CREATE_DRAWING_USER,CREATE
P7,BASE_0017,DesignJournal_baseline,drawing,PRUNE_DRAWING,PRUNE
P7,BASE_0018,DesignJournal_baseline,drawing,PRUNE_DRAWING,PRUNE
P7,BASE_0019,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0020,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0013,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0021,DesignJournal_baseline,drawing,PRUNE_DRAWING,PRUNE
P7,BASE_0022,DesignJournal_baseline,connector,RELATE_CREATE_USER,RELATE
P7,BASE_0004,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0005,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0013,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0023,DesignJournal_baseline,image,AI_PROMPT_GEN,PROMPT_GEN
P7,BASE_0024,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0012,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0010,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0009,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0012,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0013,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0010,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0004,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0011,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0002,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0005,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0025,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0025,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0025,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0025,DesignJournal_baseline,image,INTERACT_REACTION,INTERACT
P7,BASE_0025,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0025,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0011,DesignJournal_baseline,image,ELABORATE_IMAGE_CAPTION,ELABORATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0025,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0026,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0027,DesignJournal_baseline,image,AI_PROMPT_GEN,PROMPT_GEN
P7,BASE_0028,DesignJournal_baseline,image,AI_PROMPT_GEN,PROMPT_GEN
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0026,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0026,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0024,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0026,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0029,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P7,BASE_0024,DesignJournal_baseline,image,PRUNE_IMAGE,PRUNE
P7,BASE_0029,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0026,DesignJournal_baseline,image,PRUNE_IMAGE,PRUNE
P7,BASE_0029,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0029,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0029,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0030,DesignJournal_baseline,image,AI_PROMPT_GEN,PROMPT_GEN
P7,BASE_0031,DesignJournal_baseline,image,AI_PROMPT_GEN,PROMPT_GEN
P7,BASE_0029,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0001,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0005,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0002,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0002,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0005,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P7,BASE_0011,DesignJournal_baseline,image,INTERACT_REACTION,INTERACT
P7,BASE_0011,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P7,BASE_0001,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
