designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P7,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P7,AGENT_0002,DesignJournal+Agent,DELETE,image,PRUNE_IMAGE,PRUNE
P7,AGENT_0003,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0004,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0005,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0006,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0003,DesignJournal+Agent,DELETE,image,PRUNE_IMAGE,PRUNE
P7,AGENT_0007,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0008,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0009,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0010,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0009,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0010,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0009,DesignJournal+Agent,echo,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0010,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0008,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0011,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P7,AGENT_0009,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0010,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0008,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0011,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P7,AGENT_0006,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0012,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P7,AGENT_0007,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0012,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P7,AGENT_0005,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0004,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0012,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P7,AGENT_0005,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
P7,AGENT_0012,DesignJournal+Agent,DELETE,column,PRUNE_COLUMN,PRUNE
P7,AGENT_0013,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0014,DesignJournal+Agent,DELETE,image,PRUNE_IMAGE,PRUNE
P7,AGENT_0015,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0016,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0017,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P7,AGENT_0017,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P7,AGENT_0018,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
