designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P1,AGENT_0001,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0001,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P1,AGENT_0002,DesignJournal+Agent,insight,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P1,AGENT_0003,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0004,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0005,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0006,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0007,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0008,DesignJournal+Agent,OTHER,todo,CREATE_TODO_USER,CREATE
P1,AGENT_0008,DesignJournal+Agent,OTHER,todo,ELABORATE_TODO,ELABORATE
P1,AGENT_0008,DesignJournal+Agent,OTHER,todo,RELOCATE_TODO,RELOCATE
P1,AGENT_0008,DesignJournal+Agent,OTHER,todo,ELABORATE_TODO,ELABORATE
P1,AGENT_0008,DesignJournal+Agent,OTHER,todo,RELOCATE_TODO,RELOCATE
P1,AGENT_0008,DesignJournal+Agent,OTHER,todo,RELOCATE_TODO,RELOCATE
P1,AGENT_0009,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0010,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0011,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0010,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P1,AGENT_0012,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0013,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P1,AGENT_0014,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0015,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0016,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0017,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0018,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0019,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0020,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P1,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P1,AGENT_0003,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P1,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P1,AGENT_0013,DesignJournal+Agent,spark,note,RELOCATE_NOTE,RELOCATE
P1,AGENT_0021,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
