designer,artifact_id,condition,artifact_type,action,broad_action
P5,BASE_0001,DesignJournal_baseline,todo,CREATE_TODO_USER,CREATE
P5,BASE_0001,DesignJournal_baseline,todo,RELOCATE_TODO,RELOCATE
P5,BASE_0001,DesignJournal_baseline,todo,ELABORATE_TODO,ELABORATE
P5,BASE_0002,DesignJournal_baseline,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P5,BASE_0003,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P5,BASE_0004,DesignJournal_baseline,image,AI_PROMPT_GEN,PROMPT_GEN
P5,BASE_0005,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0006,DesignJournal_baseline,image,AI_IMAGE_EDIT,IMAGE_EDIT
P5,BASE_0007,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0005,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0007,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0005,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0003,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P5,BASE_0007,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0008,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0009,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0010,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0011,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0008,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0010,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0001,DesignJournal_baseline,todo,RELOCATE_TODO,RELOCATE
P5,BASE_0011,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0009,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0011,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0010,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0012,DesignJournal_baseline,table,CREATE_TABLE_USER,CREATE
P5,BASE_0013,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0012,DesignJournal_baseline,table,PRUNE_TABLE,PRUNE
P5,BASE_0002,DesignJournal_baseline,intent,EDIT_INTENT_GLOBAL,INTENT_EDIT
P5,BASE_0002,DesignJournal_baseline,intent,EDIT_INTENT_LOCAL,INTENT_EDIT
P5,BASE_0014,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0015,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0016,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P5,BASE_0016,DesignJournal_baseline,image,ELABORATE_IMAGE_CAPTION,ELABORATE
P5,BASE_0015,DesignJournal_baseline,image,ELABORATE_IMAGE_CAPTION,ELABORATE
P5,BASE_0015,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P5,BASE_0015,DesignJournal_baseline,image,ELABORATE_IMAGE_CAPTION,ELABORATE
