designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P5,AGENT_0001,DesignJournal+Agent,GlobalIntent,intent,EDIT_INTENT_LOCAL,INTENT_EDIT
P5,AGENT_0002,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P5,AGENT_0002,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0002,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P5,AGENT_0003,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0004,DesignJournal+Agent,imageEditMode,image,AI_IMAGE_EDIT,IMAGE_EDIT
P5,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0006,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P5,AGENT_0007,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P5,AGENT_0008,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P5,AGENT_0009,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0002,DesignJournal+Agent,insight,note,RELOCATE_NOTE,RELOCATE
P5,AGENT_0005,DesignJournal+Agent,OTHER,image,INTERACT_COMMENT,INTERACT
P5,AGENT_0010,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P5,AGENT_0003,DesignJournal+Agent,insight,image,RELOCATE_IMAGE,RELOCATE
P5,AGENT_0011,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P5,AGENT_0005,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
