designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P2,AGENT_0001,DesignJournal+Agent,echo,note,RELOCATE_NOTE,RELOCATE
P2,AGENT_0002,DesignJournal+Agent,OTHER,drawing,CREATE_DRAWING_USER,CREATE
P2,AGENT_0002,DesignJournal+Agent,OTHER,drawing,ELABORATE_DRAWING_CAPTION,ELABORATE
P2,AGENT_0003,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P2,AGENT_0004,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P2,AGENT_0005,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0002,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P2,AGENT_0004,DesignJournal+Agent,OTHER,note,STRUCTURE_ADD,STRUCTURE
P2,AGENT_0006,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P2,AGENT_0003,DesignJournal+Agent,OTHER,note,STRUCTURE_ADD,STRUCTURE
P2,AGENT_0006,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,STRUCTURE_ADD,STRUCTURE
P2,AGENT_0006,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P2,AGENT_0006,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P2,AGENT_0007,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0008,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0009,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0010,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0011,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0011,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0009,DesignJournal+Agent,DELETE,image,PRUNE_IMAGE,PRUNE
P2,AGENT_0012,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0013,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0014,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0015,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0006,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P2,AGENT_0006,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,STRUCTURE_REMOVE,STRUCTURE
P2,AGENT_0003,DesignJournal+Agent,OTHER,note,STRUCTURE_REMOVE,STRUCTURE
P2,AGENT_0004,DesignJournal+Agent,OTHER,note,STRUCTURE_REMOVE,STRUCTURE
P2,AGENT_0015,DesignJournal+Agent,DELETE,connector,RELATE_DELETE_USER,RELATE
P2,AGENT_0006,DesignJournal+Agent,DELETE,column,PRUNE_COLUMN,PRUNE
P2,AGENT_0004,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P2,AGENT_0003,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P2,AGENT_0007,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0008,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0012,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P2,AGENT_0014,DesignJournal+Agent,DELETE,image,PRUNE_IMAGE,PRUNE
P2,AGENT_0016,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0007,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0017,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0011,DesignJournal+Agent,spark,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0018,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0019,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0020,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0021,DesignJournal+Agent,promptGenMode,image,AGENT_REJECT,AGENT_GEN
P2,AGENT_0021,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0022,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0022,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0023,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P2,AGENT_0022,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0002,DesignJournal+Agent,spark,drawing,RELOCATE_DRAWING,RELOCATE
P2,AGENT_0001,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P2,AGENT_0024,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0025,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0026,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0027,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0028,DesignJournal+Agent,promptGenMode,image,AI_PROMPT_GEN,PROMPT_GEN
P2,AGENT_0029,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0029,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
P2,AGENT_0030,DesignJournal+Agent,agentGenMode,image,AGENT_REJECT,AGENT_GEN
P2,AGENT_0031,DesignJournal+Agent,OTHER,image,AGENT_REJECT,AGENT_GEN
P2,AGENT_0031,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P2,AGENT_0031,DesignJournal+Agent,OTHER,image,RELOCATE_IMAGE,RELOCATE
