designer,artifact_id,condition,artifact_type,action,broad_action
P4,BASE_0001,DesignJournal_baseline,todo,CREATE_TODO_USER,CREATE
P4,BASE_0001,DesignJournal_baseline,todo,RELOCATE_TODO,RELOCATE
P4,BASE_0001,DesignJournal_baseline,todo,ELABORATE_TODO,ELABORATE
P4,BASE_0002,DesignJournal_baseline,todo,CREATE_TODO_USER,CREATE
P4,BASE_0002,DesignJournal_baseline,todo,RELOCATE_TODO,RELOCATE
P4,BASE_0002,DesignJournal_baseline,todo,ELABORATE_TODO,ELABORATE
P4,BASE_0003,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P4,BASE_0004,DesignJournal_baseline,table,CREATE_TABLE_USER,CREATE
P4,BASE_0004,DesignJournal_baseline,table,RELOCATE_TABLE,RELOCATE
P4,BASE_0004,DesignJournal_baseline,table,ELABORATE_TABLE,ELABORATE
P4,BASE_0005,DesignJournal_baseline,column,CREATE_COLUMN_USER,CREATE
P4,BASE_0002,DesignJournal_baseline,todo,STRUCTURE_ADD,STRUCTURE
P4,BASE_0004,DesignJournal_baseline,table,STRUCTURE_ADD,STRUCTURE
P4,BASE_0003,DesignJournal_baseline,note,STRUCTURE_ADD,STRUCTURE
P4,BASE_0006,DesignJournal_baseline,column,CREATE_COLUMN_USER,CREATE
P4,BASE_0007,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P4,BASE_0008,DesignJournal_baseline,column,CREATE_COLUMN_USER,CREATE
P4,BASE_0008,DesignJournal_baseline,column,PRUNE_COLUMN,PRUNE
P4,BASE_0009,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P4,BASE_0010,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P4,BASE_0010,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P4,BASE_0011,DesignJournal_baseline,note,CREATE_NOTE_USER,CREATE
P4,BASE_0009,DesignJournal_baseline,note,RELOCATE_NOTE,RELOCATE
P4,BASE_0012,DesignJournal_baseline,image,CREATE_IMAGE_USER,CREATE
P4,BASE_0012,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
P4,BASE_0007,DesignJournal_baseline,image,RELOCATE_IMAGE,RELOCATE
