designer,artifact_id,condition,agent_source,artifact_type,action,broad_action
P3,AGENT_0001,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P3,AGENT_0001,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P3,AGENT_0001,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P3,AGENT_0002,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P3,AGENT_0002,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0003,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P3,AGENT_0004,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P3,AGENT_0003,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P3,AGENT_0003,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P3,AGENT_0002,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0002,DesignJournal+Agent,OTHER,column,ELABORATE_COLUMN,ELABORATE
P3,AGENT_0005,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P3,AGENT_0006,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P3,AGENT_0007,DesignJournal+Agent,OTHER,column,CREATE_COLUMN_USER,CREATE
P3,AGENT_0005,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0006,DesignJournal+Agent,OTHER,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0008,DesignJournal+Agent,OTHER,note,CREATE_NOTE_USER,CREATE
P3,AGENT_0008,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P3,AGENT_0008,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P3,AGENT_0003,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P3,AGENT_0003,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P3,AGENT_0008,DesignJournal+Agent,OTHER,note,ELABORATE_NOTE,ELABORATE
P3,AGENT_0008,DesignJournal+Agent,OTHER,note,RELOCATE_NOTE,RELOCATE
P3,AGENT_0009,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P3,AGENT_0004,DesignJournal+Agent,OTHER,connector,ELABORATE_CONNECTOR_TEXT,ELABORATE
P3,AGENT_0005,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0007,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0007,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0010,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P3,AGENT_0011,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P3,AGENT_0002,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0012,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P3,AGENT_0013,DesignJournal+Agent,OTHER,connector,RELATE_CREATE_USER,RELATE
P3,AGENT_0006,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0007,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0002,DesignJournal+Agent,spark,column,RELOCATE_COLUMN,RELOCATE
P3,AGENT_0014,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P3,AGENT_0015,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P3,AGENT_0016,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P3,AGENT_0017,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P3,AGENT_0018,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P3,AGENT_0019,DesignJournal+Agent,OTHER,image,CREATE_IMAGE_USER,CREATE
P3,AGENT_0019,DesignJournal+Agent,OTHER,image,STRUCTURE_MOVE,STRUCTURE
P3,AGENT_0014,DesignJournal+Agent,OTHER,image,STRUCTURE_ADD,STRUCTURE
